epoch,train_loss
1,970.4296747463852
2,608.8808824746593
3,293.15316759447046
4,36.30903743502936
5,-164.43769476916998
6,-324.4585723876953
7,-448.0527339845832
8,-547.9574976028409
9,-618.0528796751108
10,-680.8135498307153
11,-726.1938926192489
12,492.35988019524353
13,-407.1851067451526
14,-454.805515639055
15,-483.2173739109975
16,-507.55580370156747
17,-532.6138938789937
18,-558.7041543338345
19,-583.0601064198053
20,-606.3934653471274
21,-627.5624748831873
22,-646.3739447685193
23,-668.0513587414837
24,-685.5032469011319
25,-704.7543493079733
26,-720.3137937110624
27,-733.8249751825068
28,-299.5377189538626
29,-465.58738243249434
30,-526.7772009225288
31,-557.361623149945
32,-576.9528032315056
33,-593.9752694070975
34,-613.3696160875658
35,-628.2984598969091
36,-643.591518442768
37,-659.41997640321
38,-673.4102170248784
39,-678.2928609624346
40,-694.4982915361807
41,-698.0703949104749
42,-712.1611204818367
43,-684.2178275752932
44,-725.5252077798091
45,-728.5398168502841
46,323.2661962204142
47,-565.0255557062275
48,-588.0789475430812
49,-603.8701682670284
50,-616.5460302356972
