epoch,train_loss
1,970.7522930478744
2,610.2701220807236
3,295.5542240427501
4,36.9682326084261
5,-165.1011338467791
6,-323.8889276630589
7,-448.22482332339416
8,-542.3787817070479
9,-620.6600487552472
10,-675.1032423332556
11,-721.4084444025686
12,-180.32124216978485
13,-525.0282098896214
14,-589.7458475922216
15,-635.6405748965135
16,-670.050608360437
17,-698.6312410724697
18,-723.6549188089269
19,-744.9998883408016
20,-761.458771858134
21,-789.3749976574993
22,243.64329904889755
23,-392.104879724954
24,-460.9749708358667
25,-486.3513387261169
26,-507.8030407220316
27,-527.225703225207
28,-540.4582046476254
29,-551.9499721242421
30,-561.1677867181774
31,-573.4185634848914
32,-583.9855017428205
33,-593.3562246944858
34,-609.5141209844332
35,-618.2921326724705
36,-623.3746773205332
37,-640.9969607355243
38,-649.6713007294547
39,-343.6586175361422
40,-542.3285614534227
41,-582.4759051357505
42,-611.9477753303706
43,-630.4082820217238
44,-636.1698678673457
45,-643.2203022320388
46,-646.3239633848926
47,-649.4253983812799
48,-658.4455447654481
49,-659.951274489543
50,-54.94131508158214
